Palabra,Conteo
tecnológico,411
progreso,86
sostenible,175
272,16
científica,303
anualmente,98
pib,321
fortalecimiento,941
capital,370
275,27
vocaciones,39
científicas,39
tecnológicas,230
locales,433
277,19
aprovechamiento,372
conocimiento,305
público,1349
278,14
tecnológica,415
279,22
4,762
281,23
284,23
macroeconómico,18
285,20
294,18
presupuestarios,156
disponibles,134
ahorros,102
298,21
302,30
financieras,162
mercado,652
valores,272
financiero,320
segmentos,45
excluidos,11
305,15
xi,23
incluyendo,184
aseguramiento,138
ahorro,446
retiro,172
306,21
otros,1102
financieros,542
actores,163
dificultades,29
mismos,196
áreas,755
prioritarias,111
patentes,71
completando,12
mercados,347
fomentando,39
desplazarlo,8
309,17
articulando,10
municipales,413
317,22
323,21
procurar,28
equilibrio,34
digno,61
decente,24
324,24
compartidos,31
empleabilidad,44
327,15
perfeccionar,17
procedimientos,481
trabajador,66
329,16
orientar,107
facilitador,39
preserve,35
genere,57
332,22
implementar,179
vincule,9
ambiental,511
costos,275
manejo,554
haciendo,19
ese,407
recurso,67
338,24
cuidado,136
resiliente,17
bajo,687
carbono,148
347,17
358,16
367,18
amplíe,12
accesibilidad,79
buscando,31
368,16
abastecer,37
cadena,158
374,16
abastecimiento,63
crudo,170
petrolíferos,81
racional,23
eléctrica,365
383,15
incentiven,14
391,23
apuntalar,16
mejora,631
regulatoria,196
392,17
xii,19
normalización,157
conformidad,136
normas,308
394,20
niveles,406
regulación,158
apropiada,9
395,20
consumidor,238
realización,340
seguras,39
397,12
reactivar,19
enfocada,41
dinámicos,18
tradicionales,76
sectorialmente,9
equilibrada,18
minero,71
403,10
gasto,547
405,20
407,18
411,14
transporte,751
refleje,37
menores,425
realizar,470
413,15
conservar,49
diferentes,580
modos,27
conectividad,221
criterios,337
carretero,104
414,22
ferroviario,138
423,19
masivo,96
425,16
426,15
aeroportuario,52
430,19
agropecuario,129
pesquero,140
435,18
físico,170
modelos,123
escala,99
443,19
agroalimentaria,66
mecanismos,611
444,12
447,16
normativo,127
449,14
450,41
oferta,367
453,20
xiii,11
456,9
generados,72
460,14
5,848
465,19
467,16
visión,118
plazo,283
convergencia,24
complementariedades,14
relevante,61
profundización,31
latina,212
471,10
europeos,29
comunes,66
476,7
clave,137
diversificación,70
participar,119
activamente,71
regionales,375
478,14
presenta,119
lazos,43
áfrica,76
481,14
papel,129
activo,118
comprometido,23
multilateral,52
prioritaria,103
temas,803
compatibles,12
483,18
vigorosa,8
contribuya,50
488,8
turística,301
493,17
red,967
representaciones,114
coordinada,81
derive,10
cuantificables,8
definir,111
diplomacia,25
cual,1934
flujos,99
sectorial,679
496,11
reafirmar,16
movilidad,298
capitales,44
499,13
profundizar,51
comercial,419
incentivar,171
estableciendo,20
profundizando,11
502,16
505,16
